movement,number,status,codeshareStatus,isCargo,aircraft,airline,callSign,code,flight_type,date
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2024-10-08 18:04Z', 'local': '2024-10-08 13:04-05:00'}, 'revisedTime': {'utc': '2024-10-08 19:05Z', 'local': '2024-10-08 14:05-05:00'}, 'quality': ['Basic']}",GB 2245,Expected,IsOperator,True,"{'reg': 'N220CY', 'modeS': 'A1E14A', 'model': 'Boeing 767-300'}","{'name': 'ABX Air', 'iata': 'GB', 'icao': 'ABX'}",ABX2245,BOG,arrival,2024-10-08
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2024-10-08 20:09Z', 'local': '2024-10-08 15:09-05:00'}, 'revisedTime': {'utc': '2024-10-08 20:26Z', 'local': '2024-10-08 15:26-05:00'}, 'quality': ['Basic']}",L7 1807,Expected,IsOperator,True,"{'reg': 'N538LA', 'modeS': 'A6CF20', 'model': 'Boeing 767-300'}","{'name': 'LATAM Cargo Colombia', 'iata': 'L7', 'icao': 'LAE'}",LAE1807,BOG,arrival,2024-10-08
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2024-10-08 20:48Z', 'local': '2024-10-08 15:48-05:00'}, 'revisedTime': {'utc': '2024-10-08 20:57Z', 'local': '2024-10-08 15:57-05:00'}, 'quality': ['Basic']}",4C 4401,Expected,IsOperator,False,"{'reg': 'CC-BAI', 'modeS': 'E80419', 'model': 'Airbus A320'}","{'name': 'LATAM Colombia', 'iata': '4C', 'icao': 'ARE'}",ARE4401,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKIB', 'iata': 'IBE', 'name': 'Ibagué', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:00Z', 'local': '2024-10-08 18:00-05:00'}, 'revisedTime': {'utc': '2024-10-08 22:27Z', 'local': '2024-10-08 17:27-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 4848,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKSM', 'iata': 'SMR', 'name': 'Santa Marta', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 22:55Z', 'local': '2024-10-08 17:55-05:00'}, 'revisedTime': {'utc': '2024-10-08 22:46Z', 'local': '2024-10-08 17:46-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4163,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'KFLL', 'iata': 'FLL', 'name': 'Fort Lauderdale', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2024-10-08 23:00Z', 'local': '2024-10-08 18:00-05:00'}, 'revisedTime': {'utc': '2024-10-08 22:49Z', 'local': '2024-10-08 17:49-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",AV 37,Arrived,IsOperator,False,"{'reg': 'HK-5353', 'modeS': '0AC9C2', 'model': 'Airbus A320'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA037,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:07Z', 'local': '2024-10-08 18:07-05:00'}, 'revisedTime': {'utc': '2024-10-08 22:58Z', 'local': '2024-10-08 17:58-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4015,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 22:35Z', 'local': '2024-10-08 17:35-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:00Z', 'local': '2024-10-08 18:00-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4013,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKMZ', 'iata': 'MZL', 'name': 'Manizales', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:00Z', 'local': '2024-10-08 18:00-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:00Z', 'local': '2024-10-08 18:00-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",VE 7839,Canceled,IsOperator,False,{'model': 'ATR 72'},"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKMR', 'iata': 'MTR', 'name': 'Montería', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:10Z', 'local': '2024-10-08 18:10-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:01Z', 'local': '2024-10-08 18:01-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 8509,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'KMCO', 'iata': 'MCO', 'name': 'Orlando', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2024-10-08 22:59Z', 'local': '2024-10-08 17:59-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:04Z', 'local': '2024-10-08 18:04-05:00'}, 'terminal': '1', 'baggageBelt': '05', 'quality': ['Basic', 'Live']}",AV 29,Arrived,IsOperator,False,"{'reg': 'N962AV', 'modeS': 'AD63A8', 'model': 'Airbus A320 NEO'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA029,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:12Z', 'local': '2024-10-08 18:12-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:05Z', 'local': '2024-10-08 18:05-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 9553,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKMD', 'iata': 'EOH', 'name': 'Medellín', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:09Z', 'local': '2024-10-08 18:09-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:10Z', 'local': '2024-10-08 18:10-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8619,Arrived,IsOperator,False,{'model': 'Embraer RJ145'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SLVR', 'iata': 'VVI', 'name': 'Santa Cruz de la Sierra', 'timeZone': 'America/La_Paz'}, 'scheduledTime': {'utc': '2024-10-08 11:05Z', 'local': '2024-10-08 06:05-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:11Z', 'local': '2024-10-08 18:11-05:00'}, 'terminal': '1', 'baggageBelt': '06', 'quality': ['Basic', 'Live']}",AV 8385,Arrived,IsOperator,False,{'model': 'Airbus A319'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:05Z', 'local': '2024-10-08 18:05-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:11Z', 'local': '2024-10-08 18:11-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4076,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKCG', 'iata': 'CTG', 'name': 'Cartagena de Indias', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:29Z', 'local': '2024-10-08 18:29-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:11Z', 'local': '2024-10-08 18:11-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 9789,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'TNCA', 'iata': 'AUA', 'name': 'Oranjestad', 'timeZone': 'America/Aruba'}, 'scheduledTime': {'utc': '2024-10-08 23:39Z', 'local': '2024-10-08 18:39-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:12Z', 'local': '2024-10-08 18:12-05:00'}, 'terminal': '1', 'baggageBelt': '02', 'quality': ['Basic', 'Live']}",AV 8381,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:10Z', 'local': '2024-10-08 18:10-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:17Z', 'local': '2024-10-08 18:17-05:00'}, 'terminal': '1', 'baggageBelt': '13', 'quality': ['Basic', 'Live']}",AV 9816,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKMU', 'iata': 'MVP', 'name': 'Mitú', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 21:48Z', 'local': '2024-10-08 16:48-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:20Z', 'local': '2024-10-08 18:20-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8741,Arrived,IsOperator,False,{'model': 'Embraer RJ145'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKSP', 'iata': 'ADZ', 'name': 'San Andrés', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:44Z', 'local': '2024-10-08 18:44-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:21Z', 'local': '2024-10-08 18:21-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 8479,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKAR', 'iata': 'AXM', 'name': 'Armenia', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 22:36Z', 'local': '2024-10-08 17:36-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:21Z', 'local': '2024-10-08 18:21-05:00'}, 'terminal': '1', 'baggageBelt': '09', 'quality': ['Basic', 'Live']}",LA 4253,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,BOG,arrival,2024-10-08
"{'airport': {'name': 'VGZ'}, 'scheduledTime': {'utc': '2024-10-08 23:30Z', 'local': '2024-10-08 18:30-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:25Z', 'local': '2024-10-08 18:25-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8743,Arrived,IsOperator,False,{'model': 'ATR 42-300'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'LEBL', 'iata': 'BCN', 'name': 'Barcelona', 'timeZone': 'Europe/Madrid'}, 'scheduledTime': {'utc': '2024-10-08 22:50Z', 'local': '2024-10-08 17:50-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:26Z', 'local': '2024-10-08 18:26-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 19,Arrived,IsOperator,False,"{'reg': 'N796AV', 'modeS': 'AACE63', 'model': 'Boeing 787-8'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA019,BOG,arrival,2024-10-08
"{'airport': {'icao': 'LEMD', 'iata': 'MAD', 'name': 'Madrid', 'timeZone': 'Europe/Madrid'}, 'scheduledTime': {'utc': '2024-10-08 23:15Z', 'local': '2024-10-08 18:15-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:26Z', 'local': '2024-10-08 18:26-05:00'}, 'terminal': '1', 'baggageBelt': '01', 'quality': ['Basic', 'Live']}",UX 193,Arrived,IsOperator,False,"{'reg': 'EC-MIG', 'modeS': '3450D8', 'model': 'Boeing 787-8'}","{'name': 'Air Europa', 'iata': 'UX', 'icao': 'AEA'}",AEA193,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SVMI', 'iata': 'CCS', 'name': 'Caracas', 'timeZone': 'America/Caracas'}, 'scheduledTime': {'utc': '2024-10-08 23:30Z', 'local': '2024-10-08 18:30-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:30Z', 'local': '2024-10-08 18:30-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",6N 273,Arrived,IsOperator,True,,"{'name': 'Niger', 'iata': '6N', 'icao': 'NIN'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 22:59Z', 'local': '2024-10-08 17:59-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:30Z', 'local': '2024-10-08 18:30-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",JA 5323,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'JetSMART', 'iata': 'JA', 'icao': 'JAT'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKBQ', 'iata': 'BAQ', 'name': 'Barranquilla', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:47Z', 'local': '2024-10-08 18:47-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:33Z', 'local': '2024-10-08 18:33-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 9525,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKVP', 'iata': 'VUP', 'name': 'Valledupar', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:49Z', 'local': '2024-10-08 18:49-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:38Z', 'local': '2024-10-08 18:38-05:00'}, 'terminal': '1', 'baggageBelt': '13', 'quality': ['Basic', 'Live']}",AV 8577,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKLC', 'iata': 'APO', 'name': 'Carepa', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:59Z', 'local': '2024-10-08 18:59-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:40Z', 'local': '2024-10-08 18:40-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8799,Arrived,IsOperator,False,{'model': 'ATR 42-300'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'TNCC', 'iata': 'CUR', 'name': 'Willemstad', 'timeZone': 'America/Curacao'}, 'scheduledTime': {'utc': '2024-10-08 23:55Z', 'local': '2024-10-08 18:55-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:43Z', 'local': '2024-10-08 18:43-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",AV 79,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKRH', 'iata': 'RCH', 'name': 'Rio de la Hacha', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:55Z', 'local': '2024-10-08 18:55-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:45Z', 'local': '2024-10-08 18:45-05:00'}, 'terminal': '1', 'baggageBelt': '09', 'quality': ['Basic', 'Live']}",AV 8429,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:59Z', 'local': '2024-10-08 18:59-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:48Z', 'local': '2024-10-08 18:48-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 9343,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'KJFK', 'iata': 'JFK', 'name': 'New York', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2024-10-08 23:45Z', 'local': '2024-10-08 18:45-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:49Z', 'local': '2024-10-08 18:49-05:00'}, 'terminal': '1', 'baggageBelt': '02', 'quality': ['Basic', 'Live']}",DL 253,Arrived,IsOperator,False,"{'reg': 'N538US', 'modeS': 'A6CFF8', 'model': 'Boeing 757'}","{'name': 'Delta Air Lines', 'iata': 'DL', 'icao': 'DAL'}",DAL253,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKSP', 'iata': 'ADZ', 'name': 'San Andrés', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-08 23:05Z', 'local': '2024-10-08 18:05-05:00'}, 'revisedTime': {'utc': '2024-10-08 23:52Z', 'local': '2024-10-08 18:52-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4237,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,BOG,arrival,2024-10-08
"{'airport': {'icao': 'SKBG', 'iata': 'BGA', 'name': 'Bucaramanga', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2024-10-09 00:24Z', 'local': '2024-10-08 19:24-05:00'}, 'revisedTime': {'utc': '2024-10-09 00:00Z', 'local': '2024-10-08 19:00-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 9461,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,BOG,arrival,2024-10-08
