movement,number,status,codeshareStatus,isCargo,aircraft,airline,callSign,flight_type,code
"{'airport': {'icao': 'SKMU', 'iata': 'MVP', 'name': 'Mitú', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 16:57Z', 'local': '2025-01-30 11:57-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:00Z', 'local': '2025-01-30 12:00-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8741,Arrived,IsOperator,False,{'model': 'Embraer RJ145'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,arrival,BOG
"{'airport': {'icao': 'SKCC', 'iata': 'CUC', 'name': 'Cúcuta', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 16:59Z', 'local': '2025-01-30 11:59-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:00Z', 'local': '2025-01-30 12:00-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 9407,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'SKLG', 'iata': 'LQM', 'name': 'Puerto Leguízamo', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 16:35Z', 'local': '2025-01-30 11:35-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:00Z', 'local': '2025-01-30 12:00-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8777,Arrived,IsOperator,False,,"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,arrival,BOG
"{'airport': {'icao': 'SKMD', 'iata': 'EOH', 'name': 'Medellín', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 17:01Z', 'local': '2025-01-30 12:01-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:00Z', 'local': '2025-01-30 12:00-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8766,Arrived,IsOperator,False,{'model': 'Embraer RJ145'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",,arrival,BOG
"{'airport': {'icao': 'SKSM', 'iata': 'SMR', 'name': 'Santa Marta', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 17:35Z', 'local': '2025-01-30 12:35-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:04Z', 'local': '2025-01-30 12:04-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 9751,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'name': 'MSK'}, 'scheduledTime': {'utc': '2025-01-30 17:10Z', 'local': '2025-01-30 12:10-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:05Z', 'local': '2025-01-30 12:05-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 8999,Arrived,IsOperator,True,,"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",,arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 17:27Z', 'local': '2025-01-30 12:27-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:09Z', 'local': '2025-01-30 12:09-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 9349,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'SKFL', 'iata': 'FLA', 'name': 'Florencia', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 17:10Z', 'local': '2025-01-30 12:10-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:10Z', 'local': '2025-01-30 12:10-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 9035,Canceled,IsOperator,False,{'model': 'ATR 72'},"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",,arrival,BOG
"{'airport': {'icao': 'SKPD', 'iata': 'PDA', 'name': 'Puerto Inírida', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 17:15Z', 'local': '2025-01-30 12:15-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:15Z', 'local': '2025-01-30 12:15-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",6N 2151,Arrived,IsOperator,True,,"{'name': 'Niger', 'iata': '6N', 'icao': 'NIN'}",,arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-30 17:24Z', 'local': '2025-01-30 12:24-05:00'}, 'revisedTime': {'utc': '2025-01-30 17:16Z', 'local': '2025-01-30 12:16-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9726,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
