movement,number,status,codeshareStatus,isCargo,airline,aircraft,callSign,flight_type,code
"{'airport': {'icao': 'TNCA', 'iata': 'AUA', 'name': 'Oranjestad', 'timeZone': 'America/Aruba'}, 'scheduledTime': {'utc': '2025-01-19 17:00Z', 'local': '2025-01-19 12:00-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:00Z', 'local': '2025-01-19 12:00-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",6N 185,Arrived,IsOperator,True,"{'name': 'Niger', 'iata': '6N', 'icao': 'NIN'}",,,arrival,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-19 16:59Z', 'local': '2025-01-19 11:59-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:00Z', 'local': '2025-01-19 12:00-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 8512,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-19 17:24Z', 'local': '2025-01-19 12:24-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:05Z', 'local': '2025-01-19 12:05-05:00'}, 'terminal': '1', 'baggageBelt': '09', 'quality': ['Basic', 'Live']}",AV 9726,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKCG', 'iata': 'CTG', 'name': 'Cartagena de Indias', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-19 17:10Z', 'local': '2025-01-19 12:10-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:11Z', 'local': '2025-01-19 12:11-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4097,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'MPTO', 'iata': 'PTY', 'name': 'Tocumen', 'timeZone': 'America/Panama'}, 'scheduledTime': {'utc': '2025-01-19 17:00Z', 'local': '2025-01-19 12:00-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:15Z', 'local': '2025-01-19 12:15-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",,Arrived,IsOperator,True,{'name': 'TAESCOL'},,,arrival,BOG
"{'airport': {'icao': 'SKMD', 'iata': 'EOH', 'name': 'Medellín', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-19 17:22Z', 'local': '2025-01-19 12:22-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:15Z', 'local': '2025-01-19 12:15-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8607,Arrived,IsOperator,False,"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",{'model': 'Embraer RJ145'},,arrival,BOG
"{'airport': {'name': 'Unknown'}, 'scheduledTime': {'utc': '2025-01-19 17:17Z', 'local': '2025-01-19 12:17-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:17Z', 'local': '2025-01-19 12:17-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",6N 173,Arrived,IsOperator,True,"{'name': 'Niger', 'iata': '6N', 'icao': 'NIN'}",,,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-19 17:32Z', 'local': '2025-01-19 12:32-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:20Z', 'local': '2025-01-19 12:20-05:00'}, 'terminal': '1', 'baggageBelt': '02', 'quality': ['Basic', 'Live']}",AA 1145,Arrived,IsOperator,False,"{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}","{'reg': 'N307TA', 'modeS': 'A33AFD', 'model': 'Boeing 737'}",AAL1145,arrival,BOG
"{'airport': {'icao': 'SKSM', 'iata': 'SMR', 'name': 'Santa Marta', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-19 17:35Z', 'local': '2025-01-19 12:35-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:20Z', 'local': '2025-01-19 12:20-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 9751,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SVMI', 'iata': 'CCS', 'name': 'Caracas', 'timeZone': 'America/Caracas'}, 'scheduledTime': {'utc': '2025-01-19 17:35Z', 'local': '2025-01-19 12:35-05:00'}, 'revisedTime': {'utc': '2025-01-19 17:22Z', 'local': '2025-01-19 12:22-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 143,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}","{'reg': 'N954AV', 'modeS': 'AD4397', 'model': 'Airbus A320'}",AVA143,arrival,BOG
