movement,number,status,codeshareStatus,isCargo,airline,callSign,aircraft,flight_type,code
"{'airport': {'icao': 'SKPD', 'iata': 'PDA', 'name': 'Puerto Inírida', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 17:05Z', 'local': '2025-02-20 12:05-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:05Z', 'local': '2025-02-20 12:05-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",6N 151,Arrived,IsOperator,True,"{'name': 'Niger', 'iata': '6N', 'icao': 'NIN'}",,,arrival,BOG
"{'airport': {'icao': 'KJFK', 'iata': 'JFK', 'name': 'New York', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-02-20 17:25Z', 'local': '2025-02-20 12:25-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:07Z', 'local': '2025-02-20 12:07-05:00'}, 'terminal': '1', 'baggageBelt': '01', 'quality': ['Basic', 'Live']}",AV 21,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA021,"{'reg': 'HK-5365', 'modeS': '0AC9F0', 'model': 'Airbus A320 NEO'}",arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 17:27Z', 'local': '2025-02-20 12:27-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:09Z', 'local': '2025-02-20 12:09-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 9349,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'SBBR', 'iata': 'BSB', 'name': 'Brasília', 'timeZone': 'America/Sao_Paulo'}, 'scheduledTime': {'utc': '2025-02-20 17:22Z', 'local': '2025-02-20 12:22-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:10Z', 'local': '2025-02-20 12:10-05:00'}, 'terminal': '1', 'baggageBelt': '05', 'quality': ['Basic', 'Live']}",G3 8242,Arrived,IsOperator,False,"{'name': 'GOL Linhas Aereas', 'iata': 'G3', 'icao': 'GLO'}",,{'model': 'Boeing 737'},arrival,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 16:50Z', 'local': '2025-02-20 11:50-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:10Z', 'local': '2025-02-20 12:10-05:00'}, 'terminal': '2', 'baggageBelt': 'CD3', 'quality': ['Basic', 'Live']}",JA 5321,Arrived,IsOperator,False,"{'name': 'JetSMART', 'iata': 'JA', 'icao': 'JAT'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 16:59Z', 'local': '2025-02-20 11:59-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:11Z', 'local': '2025-02-20 12:11-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 8512,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'SKSM', 'iata': 'SMR', 'name': 'Santa Marta', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 17:35Z', 'local': '2025-02-20 12:35-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:15Z', 'local': '2025-02-20 12:15-05:00'}, 'terminal': '1', 'baggageBelt': '12', 'quality': ['Basic', 'Live']}",AV 9751,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'LEMD', 'iata': 'MAD', 'name': 'Madrid', 'timeZone': 'Europe/Madrid'}, 'scheduledTime': {'utc': '2025-02-20 17:55Z', 'local': '2025-02-20 12:55-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:17Z', 'local': '2025-02-20 12:17-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 27,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA027,"{'reg': 'N780AV', 'modeS': 'AA909A', 'model': 'Boeing 787-8'}",arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 17:24Z', 'local': '2025-02-20 12:24-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:19Z', 'local': '2025-02-20 12:19-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9726,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,{'model': 'Airbus A320'},arrival,BOG
"{'airport': {'icao': 'SKIB', 'iata': 'IBE', 'name': 'Ibagué', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-20 17:26Z', 'local': '2025-02-20 12:26-05:00'}, 'revisedTime': {'utc': '2025-02-20 17:22Z', 'local': '2025-02-20 12:22-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4388,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,{'model': 'Airbus A320'},arrival,BOG
