movement,number,callSign,status,codeshareStatus,isCargo,aircraft,airline,flight_type,code
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-25 17:00Z', 'local': '2025-01-25 12:00-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:00Z', 'local': '2025-01-25 12:00-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",GG 4535,KYE4535,Arrived,IsOperator,True,"{'reg': 'N903AR', 'modeS': 'AC7A61', 'model': 'Boeing 747-400'}","{'name': 'Sky Lease Cargo', 'iata': 'GG', 'icao': 'KYE'}",arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-25 17:24Z', 'local': '2025-01-25 12:24-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:06Z', 'local': '2025-01-25 12:06-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9726,,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",arrival,BOG
"{'airport': {'icao': 'SKPC', 'iata': 'PCR', 'name': 'Puerto Carreño', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-25 17:20Z', 'local': '2025-01-25 12:20-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:10Z', 'local': '2025-01-25 12:10-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8797,,Arrived,IsOperator,False,{'model': 'Embraer RJ145'},"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-25 17:15Z', 'local': '2025-01-25 12:15-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:15Z', 'local': '2025-01-25 12:15-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",L7 1819,,Arrived,IsOperator,True,,"{'name': 'LATAM Cargo Colombia', 'iata': 'L7', 'icao': 'LAE'}",arrival,BOG
"{'airport': {'icao': 'SKMD', 'iata': 'EOH', 'name': 'Medellín', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-25 17:30Z', 'local': '2025-01-25 12:30-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:15Z', 'local': '2025-01-25 12:15-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 9109,,Arrived,IsOperator,False,{'model': 'ATR 72'},"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",arrival,BOG
"{'airport': {'icao': 'SKFL', 'iata': 'FLA', 'name': 'Florencia', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-25 16:50Z', 'local': '2025-01-25 11:50-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:15Z', 'local': '2025-01-25 12:15-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 9035,,Arrived,IsOperator,False,{'model': 'ATR 72'},"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",arrival,BOG
"{'airport': {'icao': 'SKPS', 'iata': 'PSO', 'name': 'Pasto', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-25 17:35Z', 'local': '2025-01-25 12:35-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:16Z', 'local': '2025-01-25 12:16-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 8562,,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-25 17:32Z', 'local': '2025-01-25 12:32-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:20Z', 'local': '2025-01-25 12:20-05:00'}, 'terminal': '1', 'baggageBelt': '06', 'quality': ['Basic', 'Live']}",AA 1145,AAL1145,Arrived,IsOperator,False,"{'reg': 'N308TB', 'modeS': 'A33EB5', 'model': 'Boeing 737'}","{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}",arrival,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-25 16:59Z', 'local': '2025-01-25 11:59-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:22Z', 'local': '2025-01-25 12:22-05:00'}, 'terminal': '1', 'baggageBelt': '09', 'quality': ['Basic', 'Live']}",AV 8512,,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",arrival,BOG
"{'airport': {'icao': 'LEMD', 'iata': 'MAD', 'name': 'Madrid', 'timeZone': 'Europe/Madrid'}, 'scheduledTime': {'utc': '2025-01-25 17:55Z', 'local': '2025-01-25 12:55-05:00'}, 'revisedTime': {'utc': '2025-01-25 17:22Z', 'local': '2025-01-25 12:22-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 27,AVA027,Arrived,IsOperator,False,"{'reg': 'N782AV', 'modeS': 'AA9808', 'model': 'Boeing 787-8'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",arrival,BOG
