movement,number,status,codeshareStatus,isCargo,airline,aircraft,callSign,flight_type,code
"{'airport': {'icao': 'MPTO', 'iata': 'PTY', 'name': 'Tocumen', 'timeZone': 'America/Panama'}, 'scheduledTime': {'utc': '2025-01-11 10:55Z', 'local': '2025-01-11 05:55-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:00Z', 'local': '2025-01-11 12:00-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",D5 305,Delayed,IsOperator,True,"{'name': 'DHL Aero Expreso', 'iata': 'D5', 'icao': 'DAE'}",,,arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-11 17:05Z', 'local': '2025-01-11 12:05-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:05Z', 'local': '2025-01-11 12:05-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4029,Canceled,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'KMCO', 'iata': 'MCO', 'name': 'Orlando', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-11 17:45Z', 'local': '2025-01-11 12:45-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:23Z', 'local': '2025-01-11 12:23-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",NK 1921,Arrived,IsOperator,False,"{'name': 'Spirit', 'iata': 'NK', 'icao': 'NKS'}","{'reg': 'N902NK', 'modeS': 'AC77D0', 'model': 'Airbus A320 NEO'}",NKS1921,arrival,BOG
"{'airport': {'icao': 'SKYP', 'iata': 'EYP', 'name': 'El Yopal', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-11 12:50Z', 'local': '2025-01-11 07:50-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:25Z', 'local': '2025-01-11 12:25-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 9011,Arrived,IsOperator,False,"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",{'model': 'ATR 72'},,arrival,BOG
"{'airport': {'icao': 'TNCA', 'iata': 'AUA', 'name': 'Oranjestad', 'timeZone': 'America/Aruba'}, 'scheduledTime': {'utc': '2025-01-11 16:59Z', 'local': '2025-01-11 11:59-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:28Z', 'local': '2025-01-11 12:28-05:00'}, 'terminal': '1', 'baggageBelt': '02', 'quality': ['Basic', 'Live']}",AV 8373,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-11 17:48Z', 'local': '2025-01-11 12:48-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:31Z', 'local': '2025-01-11 12:31-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 9339,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKBQ', 'iata': 'BAQ', 'name': 'Barranquilla', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-11 17:33Z', 'local': '2025-01-11 12:33-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:33Z', 'local': '2025-01-11 12:33-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4125,Canceled,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'LEMD', 'iata': 'MAD', 'name': 'Madrid', 'timeZone': 'Europe/Madrid'}, 'scheduledTime': {'utc': '2025-01-11 09:20Z', 'local': '2025-01-11 04:20-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:36Z', 'local': '2025-01-11 12:36-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",IB 159,Arrived,IsOperator,False,"{'name': 'Iberia', 'iata': 'IB', 'icao': 'IBE'}","{'reg': 'EC-NSC', 'modeS': '347206', 'model': 'Airbus A350-900'}",IBE0159,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-11 17:32Z', 'local': '2025-01-11 12:32-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:39Z', 'local': '2025-01-11 12:39-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AA 1145,Arrived,IsOperator,False,"{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}","{'reg': 'N324SH', 'modeS': 'A37EC4', 'model': 'Boeing 737'}",AAL1145,arrival,BOG
"{'airport': {'icao': 'SKCG', 'iata': 'CTG', 'name': 'Cartagena de Indias', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-11 17:40Z', 'local': '2025-01-11 12:40-05:00'}, 'revisedTime': {'utc': '2025-01-11 17:40Z', 'local': '2025-01-11 12:40-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4101,Canceled,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
