movement,number,callSign,status,codeshareStatus,isCargo,aircraft,airline,flight_type,code
"{'airport': {'icao': 'MDSD', 'iata': 'SDQ', 'name': 'Santo Domingo City', 'timeZone': 'America/Santo_Domingo'}, 'scheduledTime': {'utc': '2025-01-14 18:35Z', 'local': '2025-01-14 13:35-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:35Z', 'local': '2025-01-14 13:35-05:00'}, 'terminal': '1', 'gate': 'B7A', 'quality': ['Basic', 'Live']}",AV 250,AVA250,Departed,IsOperator,False,"{'reg': 'N562AV', 'modeS': 'A72E6C', 'model': 'Airbus A320 (Sharklets)'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",departure,BOG
"{'airport': {'icao': 'MDPC', 'iata': 'PUJ', 'name': 'Punta Cana', 'timeZone': 'America/Santo_Domingo'}, 'scheduledTime': {'utc': '2025-01-14 18:35Z', 'local': '2025-01-14 13:35-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:35Z', 'local': '2025-01-14 13:35-05:00'}, 'terminal': '1', 'gate': 'B5', 'quality': ['Basic', 'Live']}",AV 136,AVA136,Departed,IsOperator,False,"{'reg': 'HK-5389', 'modeS': '0ACA5F', 'model': 'Airbus A320 NEO'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",departure,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-14 18:40Z', 'local': '2025-01-14 13:40-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:40Z', 'local': '2025-01-14 13:40-05:00'}, 'terminal': '1', 'gate': 'A1', 'quality': ['Basic', 'Live']}",AA 926,AAL926,Departed,IsOperator,False,"{'reg': 'N302SS', 'modeS': 'A32861', 'model': 'Boeing 737-800'}","{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}",departure,BOG
"{'airport': {'icao': 'SKPP', 'iata': 'PPN', 'name': 'Popayán', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-14 18:44Z', 'local': '2025-01-14 13:44-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:44Z', 'local': '2025-01-14 13:44-05:00'}, 'terminal': '1', 'gate': 'D8', 'quality': ['Basic', 'Live']}",AV 4837,,Departed,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",departure,BOG
"{'airport': {'icao': 'KMCO', 'iata': 'MCO', 'name': 'Orlando', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-14 18:44Z', 'local': '2025-01-14 13:44-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:44Z', 'local': '2025-01-14 13:44-05:00'}, 'terminal': '1', 'gate': 'A11', 'quality': ['Basic', 'Live']}",NK 1922,NKS1922,Departed,IsOperator,False,"{'reg': 'N933NK', 'modeS': 'ACF204', 'model': 'Airbus A320 NEO'}","{'name': 'Spirit', 'iata': 'NK', 'icao': 'NKS'}",departure,BOG
"{'airport': {'icao': 'SKBQ', 'iata': 'BAQ', 'name': 'Barranquilla', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-14 18:45Z', 'local': '2025-01-14 13:45-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:45Z', 'local': '2025-01-14 13:45-05:00'}, 'terminal': '1', 'gate': 'D3', 'quality': ['Basic', 'Live']}",AV 9524,,Departed,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",departure,BOG
"{'airport': {'icao': 'SKBQ', 'iata': 'BAQ', 'name': 'Barranquilla', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-14 18:45Z', 'local': '2025-01-14 13:45-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:45Z', 'local': '2025-01-14 13:45-05:00'}, 'terminal': '1', 'gate': 'D3', 'quality': ['Basic', 'Live']}",IB 7809,,Departed,IsOperator,False,,"{'name': 'Iberia', 'iata': 'IB', 'icao': 'IBE'}",departure,BOG
"{'airport': {'icao': 'LFPG', 'iata': 'CDG', 'name': 'Paris', 'timeZone': 'Europe/Paris'}, 'scheduledTime': {'utc': '2025-01-14 18:45Z', 'local': '2025-01-14 13:45-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:45Z', 'local': '2025-01-14 13:45-05:00'}, 'terminal': '1', 'gate': 'B2', 'quality': ['Basic', 'Live']}",AV 228,AVA228,Departed,IsOperator,False,"{'reg': 'N791AV', 'modeS': 'AABBD0', 'model': 'Boeing 787-8'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",departure,BOG
"{'airport': {'icao': 'SKMR', 'iata': 'MTR', 'name': 'Montería', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-14 18:46Z', 'local': '2025-01-14 13:46-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:46Z', 'local': '2025-01-14 13:46-05:00'}, 'terminal': '1', 'gate': 'D9', 'quality': ['Basic', 'Live']}",AV 9226,,Departed,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",departure,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-14 18:49Z', 'local': '2025-01-14 13:49-05:00'}, 'revisedTime': {'utc': '2025-01-14 18:49Z', 'local': '2025-01-14 13:49-05:00'}, 'terminal': '1', 'gate': 'C1', 'quality': ['Basic', 'Live']}",LA 4220,,Departed,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",departure,BOG
