movement,number,status,codeshareStatus,isCargo,aircraft,airline,callSign,flight_type,code
"{'airport': {'icao': 'SKBQ', 'iata': 'BAQ', 'name': 'Barranquilla', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 16:52Z', 'local': '2025-01-27 11:52-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:02Z', 'local': '2025-01-27 12:02-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 8431,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'KJFK', 'iata': 'JFK', 'name': 'New York', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-27 17:25Z', 'local': '2025-01-27 12:25-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:04Z', 'local': '2025-01-27 12:04-05:00'}, 'terminal': '1', 'baggageBelt': '04', 'quality': ['Basic', 'Live']}",AV 21,Arrived,IsOperator,False,"{'reg': 'HK-5378', 'modeS': '0ACA28', 'model': 'Airbus A320'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA021,arrival,BOG
"{'airport': {'icao': 'TNCC', 'iata': 'CUR', 'name': 'Willemstad', 'timeZone': 'America/Curacao'}, 'scheduledTime': {'utc': '2025-01-27 16:59Z', 'local': '2025-01-27 11:59-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:11Z', 'local': '2025-01-27 12:11-05:00'}, 'terminal': '1', 'baggageBelt': '02', 'quality': ['Basic', 'Live']}",AV 93,Arrived,IsOperator,False,"{'reg': 'N416AV', 'modeS': 'A4EA7E', 'model': 'Airbus A320'}","{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",AVA093,arrival,BOG
"{'airport': {'icao': 'SKSP', 'iata': 'ADZ', 'name': 'San Andrés', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 17:35Z', 'local': '2025-01-27 12:35-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:15Z', 'local': '2025-01-27 12:15-05:00'}, 'terminal': '1', 'baggageBelt': '13', 'quality': ['Basic', 'Live']}",AV 9445,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-01-27 17:32Z', 'local': '2025-01-27 12:32-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:15Z', 'local': '2025-01-27 12:15-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AA 1145,Arrived,IsOperator,False,"{'reg': 'N341RW', 'modeS': 'A3C291', 'model': 'Boeing 737'}","{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}",AAL1145,arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 17:24Z', 'local': '2025-01-27 12:24-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:16Z', 'local': '2025-01-27 12:16-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9726,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 16:39Z', 'local': '2025-01-27 11:39-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:20Z', 'local': '2025-01-27 12:20-05:00'}, 'terminal': '1', 'baggageBelt': '13', 'quality': ['Basic', 'Live']}",AV 9213,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'SKRG', 'iata': 'MDE', 'name': 'Rionegro', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 17:15Z', 'local': '2025-01-27 12:15-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:21Z', 'local': '2025-01-27 12:21-05:00'}, 'terminal': '1', 'baggageBelt': '08', 'quality': ['Basic', 'Live']}",LA 4273,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",,arrival,BOG
"{'airport': {'icao': 'SKPS', 'iata': 'PSO', 'name': 'Pasto', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 17:35Z', 'local': '2025-01-27 12:35-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:22Z', 'local': '2025-01-27 12:22-05:00'}, 'terminal': '1', 'baggageBelt': '11', 'quality': ['Basic', 'Live']}",AV 8562,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
"{'airport': {'icao': 'SKVP', 'iata': 'VUP', 'name': 'Valledupar', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-01-27 17:43Z', 'local': '2025-01-27 12:43-05:00'}, 'revisedTime': {'utc': '2025-01-27 17:24Z', 'local': '2025-01-27 12:24-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9411,Arrived,IsOperator,False,{'model': 'Airbus A320'},"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",,arrival,BOG
